Name;Code;hotel;hotel-href;text;NatCity;NatMount;NatSea;EntClub;EntKid;EntRom;ActSpo;ActSho;ActCul;ActAdv;price
London Hotels;11;The Ampersand Hotel;http://www.tripadvisor.com/Hotel_Review-g186338-d2554997-Reviews-The_Ampersand_Hotel-London_England.html;With some of the most stylish hotel rooms in Kensington, The Ampersand is a privately-owned luxury London hotel that combines contemporary excellence in design, service, food and technology in an 1888 building at the capital's heart. We have been inspired by those great Victorian values of discovery and wonder - and given them a modern, whimsical twist. The result: a cosmopolitan, 111-room luxury boutique hotel, bar, restaurant and drawing rooms, delivering 21st-century warmth, humour and total comfort.The Ampersand Hotel is situated just a minute's walk from South Kensington tube station, and is well connected to Heathrow airport.;2;0;0;1;1;1;2;3;2;0;3
Istanbul Hotels;12;Premist Hotel;http://www.tripadvisor.com/Hotel_Review-g293974-d3683581-Reviews-Premist_Hotel-Istanbul.html;Premist Hotel is a new boutique hotel located in the heart of Istanbul's oldest district, offers you to travel in time with just a five minutes walk to 6th-century St. Sophia, the 15th-century Topkapi Palace and the 17th-century Blue Mosque.;3;0;1;2;1;3;1;3;3;1;2
Corsica Hotels;13;BEST WESTERN Hotel Corsica;http://www.tripadvisor.com/Hotel_Review-g196482-d197867-Reviews-BEST_WESTERN_Hotel_Corsica-Calvi_Haute_Corse_Corsica.html;The Savelli family, owner and managing hotel Corsica, accomodate you in Calvi with her team of professionals, to make your stay memorable.Located in one of the most attractive parts of Corsica, Hotel Corsica is built in the hills above Calvi and enjoys exceptional panoramic views of the bay. Hotel Corsica offers great comfort and quality service in a stunning natural setting.Peace and quiet reign in this corner of paradise - all you have to do is surrender to the gentle pace of Corsican life. The efficiency, charm and warm welcome offered by all the hotel's staff will make your stay unforgettable...;0;2;2;2;2;2;2;1;1;2;2
London Hotels;14;Hotel Xenia;http://www.tripadvisor.com/Hotel_Review-g186338-d4181186-Reviews-Hotel_Xenia-London_England.html;Just minutes from the city's most famous museums, including the Victoria and Albert and the Natural History Museum, and a short ride from the upmarket shopping of Knightsbridge, Hotel Xenia is your new base in London. This beautiful Victorian building is a home to 99 luxurious guest rooms, The Living Wall Bar, Xenia Lounge with Grand Piano and The Living Lounge function room/ games room open to Guests and available for private hire and Evoluzione Restaurant headed up by Michelin Star awarded Italian Chef, Andrea Angeletti.;3;0;0;2;1;3;1;3;3;0;3
Sochi Hotels;15;Sea Galaxy Congress & Spa Hotel;http://www.tripadvisor.com/Hotel_Review-g298536-d6212727-Reviews-Sea_Galaxy_Congress_Spa_Hotel-Sochi_Greater_Sochi_Krasnodar_Krai_Southern_District.html;Completely renovated 18-storey building of the sanatorium <>. It is in this region have the highest concentration of interesting places in Sochi: the legendary <>Park of Frunze, area Wenigova, better known as <<___¸Ñ‚__Ñ„_°__Ñ‚_°_·_¸Ñè>>. Places for children, a water Park, a Terrarium, a Dolphinarium, Circus. Places for cultural activities and development: Summer, Winter, and Green theaters, hall of chamber and organ music.;2;2;0;2;2;3;3;1;2;3;1
Madrid Hotels;16;Sercotel Suites Viena;http://www.tripadvisor.com/Hotel_Review-g187514-d631004-Reviews-Sercotel_Suites_Viena-Madrid.html;Suites Viena is a cosy Hotel located in a quiet Street in the Centre of Madrid.;3;0;0;3;1;2;1;3;3;0;1
Sochi Hotels;17;Swissotel Resort Sochi Kamelia;http://www.tripadvisor.com/Hotel_Review-g298536-d5479659-Reviews-Swissotel_Resort_Sochi_Kamelia-Sochi_Greater_Sochi_Krasnodar_Krai_Southern_District.html;Sochi is often referred to as the Russian Riviera, because its landscapes and scenery are reminiscent of the Mediterranean.;0;2;2;3;2;2;2;2;1;3;1
Istanbul Hotels;18;Four Seasons Istanbul at the Bosphorus;http://www.tripadvisor.com/Hotel_Review-g293974-d1087766-Reviews-Four_Seasons_Istanbul_at_the_Bosphorus-Istanbul.html;Welcome to Four Seasons Hotel Istanbul at the Bosphorus. On the European bank of the Bosphorus â€“ which flows through Istanbulâ€™s history and heart â€“ Four Seasons gives a 19th-century palace a fresh, eclectic spirit. Alluring facilities include a chic urban spa. Fine restaurants and pools by the quayside overlook the Asian shore. And all are awash in the light, space and excitement of this waterâ€™s-edge location.;3;0;1;3;1;3;1;3;3;1;2
Sardinia Hotels;19;Colonna Resort;http://www.tripadvisor.com/Hotel_Review-g194856-d1018451-Reviews-Colonna_Resort-Porto_Cervo_Province_of_Olbia_Tempio_Sardinia.html;"The first time visitor of COLONNA RESORT, which is about 2 Km from Marina of Porto Cervo, is struck by the orderliness, by the streets, by the villas, the lawns, the rocks, the perfume of the wild vegetation, by the view of the entrance way of the old port of Porto Cervo, that harbors, in the medium and high season, the most beautiful and exclusive boats in the world. THE HOTEL The COLONNA RESORT extends in an area of about 60.000 mÂ_, near of the ""Cala Granu"" beach, in the north of Porto Cervo. The Resort, with sober lines typical of Mediterranean architectural style, it's surrounded by a 50'000 mÂ_ park spotted with strawberry trees, myrtle plants and junipers, where the sea, the hills and the surrounding green are the natural frame of this exclusive dwelling, dominated, often, by granite of its confinement walls. Building, sea and nature fuse in perfection, in a unique scenery of rare beauty. THE ROOMS The Resort includes 250 rooms, with numerous deluxe and Suites, almost all of them";2;2;2;1;2;3;2;1;2;2;3
Istanbul Hotels;20;DoubleTree by Hilton Istanbul - Old Town;http://www.tripadvisor.com/Hotel_Review-g293974-d1804308-Reviews-DoubleTree_by_Hilton_Istanbul_Old_Town-Istanbul.html;Explore nearby museums and Istanbul attractions from the DoubleTree by Hilton Istanbul â€“ Old Town hotel. Located in Istanbul's central historical district, this Istanbul hotel is just 20 minutes east of Ataturk International Airport and a five minute walk from Istanbul's famous Grand Bazaar. Thoughtfully designed to blend into the Old City.;3;0;0;2;0;2;1;3;3;1;2
Corfu Hotels;21;Corfu Mare Boutique Hotel;http://www.tripadvisor.com/Hotel_Review-g662629-d1079152-Reviews-Corfu_Mare_Boutique_Hotel-Corfu_Town_Corfu_Ionian_Islands.html;"Corfu Mare Boutique Hotel, member of ""Eco Hotels of the World"",is an adults only Hotel built in a green exclusive suburb of Corfu Town, 650m from the Port, 3km from the airport and 1.5Km from the Town. The Hotel combines the Venetian architecture with the relaxing atmosphere and the traditional Corfiot hospitality. All 51 Rooms meet every need offering excellent levels of quality from a Standard Room to a Master Suite. Bedrooms' special designed as portal to the world of dreams, with CocoMat beds and pillows are the place to associate with modern amenities. A true paradise for peace lovers to join Yoga and Meditation Classes or Personal lessons offered. The cozy Fitness Center offers classes (Zumba, Aerobic,Dance etc),a fully equipped gym and sauna. Enjoy healthy dishes, squeezed juices and cocktails by the luxury area of our swimming pool or traditional meals of our A la carte restaurant, all made from fresh products. The Hotel provides a functional conference center and private parki";1;0;3;2;0;3;2;1;1;3;2
Barcelona Hotels;22;Gran Hotel Torre Catalunya;http://www.tripadvisor.com/Hotel_Review-g187497-d289670-Reviews-Gran_Hotel_Torre_Catalunya-Barcelona_Catalonia.html;"The superior 4* Gran Hotel Torre Catalunya, a reference point for comfort in the ""Ciudad Condal"", is specially focussed on providing the utmost comfort, tranquillity and well-being for you for each moment of your stay. Accommodation in rooms that are at least 39 m2, breakfast at the highest panoramic restaurant in Barcelona, and just 1 stop from the historic quarter. Discover top comfort class at the Gran Hotel Torre Catalunya, which becomes your gateway to a city full of leisure, business, cultural and sporting opportunities. The Gran Hotel Torre Catalunya has 272 rooms ranging from 39 m2 to 75 m2, the largest in their category in Barcelona, with the city at your feet. Thanks to the natural light coming in through their large windows, and the warm colours of their decoration, you can enjoy a comfortable stay culminating in a renewing rest with the best views of the city. Large beds, spacious bathrooms with separate bath and shower, free WiFi connection in the bedrooms and all the amen";3;0;0;2;1;2;1;1;2;1;2
Berlin Hotels;23;Hotel Adlon Kempinski;http://www.tripadvisor.com/Hotel_Review-g187323-d190694-Reviews-Hotel_Adlon_Kempinski-Berlin.html;Welcome to the Hotel Adlon Kempinski, Berlinâ€™s premier address that has fascinated guests since 1907. Ideally located in the very heart of a vibrant city, right next to Berlinâ€™s famous landmark Brandenburg Gate, this iconic and luxurious hotel exudes the ultimate in style and elegance. The Hotel Adlon Kempinski welcomes guests with remarkable European Flair and heartwarming service. Three restaurants, including the Lorenz Adlon Esszimmer and the stylish Japanese-Thai restaurant Sra Bua by Tim Raue, serve the most demanding palates. With its 9,000 sq-ft spread over three levels, the Adlon Spa by Resense, Berlinâ€™s greatest wellness haven, invites guests to enjoy soul nourishing treatments. Welcome to a living legend.;3;0;0;2;1;2;3;2;2;0;3
Istanbul Hotels;24;Corinne Hotel;http://www.tripadvisor.com/Hotel_Review-g293974-d4597345-Reviews-Corinne_Hotel-Istanbul.html;The CORINNE HOTEL has transferred the mysteries of the past to the present and staying loyal to the original structure of the building it was restored with respect for nature using ecofriendly technology. Our hotel with its interior design blending the modern with the historical past opens the doors to its 39 rooms to host guests who crave luxury and boutique service.;2;0;1;2;1;3;2;2;3;1;2
Berlin Hotels;25;Hotel de Rome;http://www.tripadvisor.com/Hotel_Review-g187323-d601486-Reviews-Hotel_de_Rome-Berlin.html;Hotel de Rome is located on Bebelplatz, off Unter den Linden. It is a conversion of an existing building constructed in 1889 by architect Ludwig Heim (appointed master builder of the government), which housed the head office of Dresdner Bank until 1945. This is one of the few luxury hotels in Berlin located in an original building making use of its full architectural splendour and thereby offering guests an authentic Berlin experience.The ornate and classical design of the original building has been given a contemporary twist by designer Tommaso Ziffer, who also designed the Hotel de Russie in Rome. Tommaso Ziffer has been assisted by architects Aukett + Heese with Olga Polizzi and her design team at Rocco Forte Hotels.;3;0;0;2;1;3;1;3;3;1;3
Rome Hotels;26;Palazzo Manfredi - Relais & Chateaux;http://www.tripadvisor.com/Hotel_Review-g187791-d1582498-Reviews-Palazzo_Manfredi_Relais_Chateaux-Rome_Lazio.html;"""Palazzo Manfredi is a magnificent historic villa that today serves as five-star hotel offering the tradition and warm hospitality of the Counts Manfredi.";3;0;0;2;1;3;1;3;3;0;3
Berlin Hotels;27;Sofitel Berlin Kurfuerstendamm;http://www.tripadvisor.com/Hotel_Review-g187323-d582479-Reviews-Sofitel_Berlin_Kurfuerstendamm-Berlin.html;The elegant Sofitel Berlin Kurfurstendamm is situated right in the heart of the City West area, within striking distance of the renowned Kurfurstendamm shopping quarter. A showcase for a unique fusion of art, architecture and design. The impressive 17-storey stone facade constructed from Kirchheim shell limestone is a real eyecatcher. Breathtaking views can be enjoyed from the Sofitel Berlin Kurfurstendamm right across the vibrant city of Berlin.;3;0;0;2;0;3;1;3;3;0;2
London Hotels;28;Hotel 41;http://www.tripadvisor.com/Hotel_Review-g186338-d188961-Reviews-Hotel_41-London_England.html;Luxury hotel with club like atmosphere & 21st century business technology;2;0;0;3;0;2;1;3;1;3;2
Rome Hotels;29;The Inn At The Roman Forum - Small Luxury Hotel;http://www.tripadvisor.com/Hotel_Review-g187791-d596437-Reviews-The_Inn_At_The_Roman_Forum_Small_Luxury_Hotel-Rome_Lazio.html;Located just a few steps from some of the oldest and most precious ruins in Rome, including the Colosseum and the Roman Forum, this Inn member of the small luxury hotels of the world with a 5 stars service boasts charming views of the Campidoglio,Palatin Hill , Roman Forum,Venice Square . It is represented by Small Luxury Hotels of the World and is the only luxury residence in Rome which actually houses Roman ruins inside it. At the entrance, a passageway leads you to a Cryptoporticus;3;0;0;2;3;3;1;3;3;1;3
Sardinia Hotels;30;Hotel Panorama;http://www.tripadvisor.com/Hotel_Review-g187883-d1446680-Reviews-Hotel_Panorama-Olbia_Province_of_Olbia_Tempio_Sardinia.html;The Panorama Hotel, elegant and refined, is located in the heart of the city. The new building, opened in 2009, is the ideal place to spend a relaxing vacation enjoying all the comforts of a small structure.Thank to its location, itâ€™s possible to reach in few minutes the Archaeological Museum and the shopping streets.The Spa is at your disposal to give you moments of relaxation and pleasure.The magnificent view over the city and its bay is to be welcomed by the spectacular Roof Garden, where, immersed in a unique setting, you can relax in an unforgettable stay.;3;0;0;2;1;3;1;3;3;2;3
Berlin Hotels;31;Melia Berlin;http://www.tripadvisor.com/Hotel_Review-g187323-d589462-Reviews-Melia_Berlin-Berlin.html;Located in the heart of Berlin next to the River Spree and just a short distance from major attractions such as the Brandenburg Gate, Museum Island or Alexanderplatz.Warm colours in all 364 rooms, the exclusivity of the Executive Club â€œThe Levelâ€ù, highly personalised service, 1.200 sqm conference area with seven meeting rooms , the â€œRestaurant CafÃ© Madridâ€ù and the bar â€œmeliÃ¡ tapasâ€ù. The MeliÃ¡ Berlin is the perfect choice for your business or leisure trips to the city, thanks to an excellent location, extensive and comfortable facilities, and the quality of its services.;3;0;0;3;0;2;1;3;3;2;3
Barcelona Hotels;32;Catalonia Catedral;http://www.tripadvisor.com/Hotel_Review-g187497-d1498205-Reviews-Catalonia_Catedral-Barcelona_Catalonia.html;enovated modernist building, Catalonia Catedral Hotel is located in the heart of the Gothic Quarter of Barcelona.The hotel is by the Cathedral, PlaÃ§a Sant Jaume and the unavoidable Portal de lâ€™Ã€ngel. After a day of shopping, cultural visits or just walk down city enjoys a drink in the lobby bar or the international cuisine in the warm Restaurant or just rest of the bustle of the downtown without leaving it.;3;0;1;3;1;2;1;3;3;1;2
Corfu Hotels;33;Hotel Telesilla;http://www.tripadvisor.com/Hotel_Review-g1191733-d478719-Reviews-Hotel_Telesilla-Kontokali_Corfu_Ionian_Islands.html;The Telesilla is a two star, family run hotel close to Gouvia marina. The hotel is only ten minutes drive from the historical sites of Corfu town and is a perfect base for exploring the beautiful island of Corfu.;1;1;3;3;2;2;2;1;2;3;1
Sochi Hotels;34;Tulip Inn Omega Sochi;http://www.tripadvisor.com/Hotel_Review-g1956128-d5279861-Reviews-Tulip_Inn_Omega_Sochi-Adler_Adler_District_Sochi_Greater_Sochi_Krasnodar_Krai_Souther.html;"If savory flavour of southern sea cost and busy life of the center of the Olympics-2014 is your destination of choice, then the stunningly situated Tulip Inn Omega Sochi could be just what you are looking for. Absolute guest comfort is guaranteed by solely high-quality construction materials used, friendly service and value for money. The Hotel is located Sochi in Imereti Valley - the most modern resort area of Russia - within the Olympic Park, on its north, and has direct access to all the Olympic objects without extra security procedures. Proximity to ""Mediacentre"" railway station and international airport with good transport accessibility to all mountain Olympic venues and the Sochi city centre ensures Tulip Inn Omega Sochi favorable location relative to all the Resort's infrastructure objects. The Hotel's stress-free atmosphere is echoed in every single one of the 324 guestrooms with their stylish design and cutting-edge decoration. Spacious conference-halls and a full suite of pro";2;2;1;2;1;1;3;1;0;2;2
Sardinia Hotels;35;Paradise Resort Sardegna;http://www.tripadvisor.com/Hotel_Review-g652016-d3248198-Reviews-Paradise_Resort_Sardegna-San_Teodoro_Province_of_Olbia_Tempio_Sardinia.html;Paradise Resort Punta Sardegna is a beautiful 4 stars superior hotel surrounded by a breath-taking natural oasis inside the Protective Marine Area of Tavolara. Guests can enjoy a wide garden with swimming pools and solarium, an exclusive restaurant, a private parking and a Mini Club.. At Paradise Resort sports lovers are definitely spoilt for choice: golf lovers can take advantage of the proximity of Golf Club Puntaldia, a 9 holes golf course just 2 km away from the Resort, and golf Club Pevero, 18 holes, just 55 km away. The beautiful white sandy beach of Lu Impostu makes every stay unforgettable!;1;1;3;2;3;3;2;2;2;3;2
Berlin Hotels;36;Grand Hyatt Berlin;http://www.tripadvisor.com/Hotel_Review-g187323-d230572-Reviews-Grand_Hyatt_Berlin-Berlin.html;Innovative design, clean-cut lines, first-class natural materials and contemporary art are characteristical for Grand Hyatt Berlin located at Berlin Mitte, close to Potsdamer Platz, Brandenburg Gate and Reichstag. The 342 luxurious guestrooms and suites are equipped with B&O flat screen TVs and Wi-Fi. Grand Hyatt Berlin features restaurants Vox, Tizian and mesa, Vox Bar and Club Olympus Spa & Fitness on the rooftop which offers a large pool, cutting-edge fitness equipment, a sauna and Jacuzzi.;3;0;0;3;1;2;1;3;3;1;2
Sardinia Hotels;37;T Hotel;http://www.tripadvisor.com/Hotel_Review-g187881-d563748-Reviews-T_Hotel-Cagliari_Province_of_Cagliari_Sardinia.html;T Hotel welcomes you with its contemporary design right in front of the new Parco della Musica and the Lyric Theatre in Cagliari.It offers authentic hospitality rich in emotions to suit all your needs and to make each stay memorable.For you 207 designer rooms, a bar and a bistro with a winter garden, the gastronomic excellence of T Restaurant, regenerating relaxation offered in the Wellness Center T SPA.Treat yourself: we will make every stay memorable.;2;1;1;2;2;1;1;2;3;1;3
Madrid Hotels;38;ApartoSuites Jardines de Sabatini;http://www.tripadvisor.com/Hotel_Review-g187514-d1657593-Reviews-ApartoSuites_Jardines_de_Sabatini-Madrid.html;Boutique hotel in downtown Madrid. Spacious apartments and suites with kitchenette. Wonderful balcony and rooftop terrace with views over the Royal Palace.;3;0;0;3;2;2;1;3;3;1;3
Corsica Hotels;39;La Villa;http://www.tripadvisor.com/Hotel_Review-g196482-d196006-Reviews-La_Villa-Calvi_Haute_Corse_Corsica.html;Nestled amongst the hills surrounding Calvi, with a sublime view of the bay and the Citadel of Calvi, La Villa is an enchanted place where everything is in harmony ;0;2;2;2;2;3;3;1;1;3;2
Barcelona Hotels;40;Claris Hotel;http://www.tripadvisor.com/Hotel_Review-g187497-d190615-Reviews-Claris_Hotel-Barcelona_Catalonia.html;This hotel in the centre of Barcelona is ideal for a few days of relaxation or work. Boasting comfort and high-quality service, the hotel enjoys the best location for discovering Barcelona and taking advantage of all the tourist and leisure activities the city has to offer;3;0;1;2;1;2;2;3;3;1;2
Corsica Hotels;41;Castel Brando;http://www.tripadvisor.com/Hotel_Review-g1080020-d286396-Reviews-Castel_Brando-Brando_Haute_Corse_Corsica.html;The hotel Castel Brando is a charming boutique hotel located in the splendid Cap Corse area of Corsica and built in a 19th century patrician mansion. With the Mediterranean sea only 100 meters away, the hotel is nestled into the charming village of Erbalunga.;0;0;3;1;2;3;2;1;2;3;2
Barcelona Hotels;42;ABaC Barcelona;http://www.tripadvisor.com/Hotel_Review-g187497-d1077341-Reviews-ABaC_Barcelona-Barcelona_Catalonia.html;GASTRONOMY, ARCHITECTURE AND DESIGN... A UNIQUE GOURMET EXPERIENCE ABaC Restaurant Hotel Monument 5* GL is located in Sarria-Sant Gervasi, the upper zone of Barcelona, with views to the Kennedy square and surrounded with the vegetation of La Tamarita gardens. Close to the most important points of the city. Work of the architect Antoni de Moragas, consists of two buildings integrated in a garden. The centennial building was refurbished due to its historical value and it was the old residence of Dona Madronita, an intellectual of the born Catalan bourgeoisie at the end of XIX century. She was the daughter of the famous pharmacist Dr. Andreu, and she was the wife of the North American Max Klein (president of the Chamber of Commerce of the United States and one of the introducers of the basketball in Spain). On the other hand, the new crystal pavilion is covered of lattices of wood and joined the garden. Landscape and architecture give themselves the hand in a space of pure lines. ROOMS Th;2;0;1;0;1;2;1;2;3;1;2
Berlin Hotels;43;Park Inn by Radisson Berlin Alexanderplatz;http://www.tripadvisor.com/Hotel_Review-g187323-d230550-Reviews-Park_Inn_by_Radisson_Berlin_Alexanderplatz-Berlin.html;This Park Inn by Radisson Hotel Berlin Alexanderplatz is located right next to the famous Berlin TV tower, in the core of Berlin's historic city center. With its 150 meters in height, the building provides 1,012 rooms, making it the leading representative among Berlin hotels for more than 40 years. This Park Inn Hotel offers you a unique accommodation experience in Berlin with its unforgettable panoramic views of the city. Each room is equipped with high-quality furnishings and a modern design in warm and elegant wood tones. Don't forget to visit Spagos Restaurant, an authentic 3-in-1 concept of restaurant, bar & lounge on the ground floor impressive views of the TV tower and the sky through its glass roof. Additionally you can make traditional culinaric experience in the Humboldts Restaurant and the Zille Stube.;3;0;0;3;1;2;1;3;3;2;2
Rimini Hotels;44;Hotel Palos;http://www.tripadvisor.com/Hotel_Review-g949926-d1179574-Reviews-Hotel_Palos-Viserbella_Rimini_Province_of_Rimini_Emilia_Romagna.html;Directly on waterfront of Viserbella. Beach of property with happy entertainers and the fantastic Shuttel: the space game! Every day menu of meat and fish, pasta and cakes house made and fresh buffet of vegetables. Menu for children. Elegant rooms (also Family), wide, all with balcony sea view. Free parking. The Palos Hotel is nearby to Italia in Miniatura! From our position you will quickly reach the other main parks of the Coast!;0;0;3;1;3;2;2;1;1;2;1
Sochi Hotels;45;Golden Tulip Rosa Khutor;http://www.tripadvisor.com/Hotel_Review-g3206479-d5953917-Reviews-Golden_Tulip_Rosa_Khutor-Esto_Sadok_Adler_District_Sochi_Greater_Sochi_Krasnodar_Krai.html;"Golden Tulip Rosa Khutor - an exquisite new hotel in Krasnaya Polyana, near Sochi, lies at the very heart of the ""Rosa Khutor"" Olympic ski resort . Located just steps away from the Olympic lifts, Golden Tulip Rosa Khutor Hotel is the perfect choice for professional or amateur skiers and snowboarders, and for discerning guests who appreciate unrivalled comfort and attentive service. With its 9 spacious conference rooms and state-of-the-art equipment the Hotel is the ideal MICE setting in Krasnaya Polyana, Sochi.";1;3;0;0;1;0;3;1;0;3;2
St. Petersburg Hotels;46;Golden Triangle Hotel;http://www.tripadvisor.com/Hotel_Review-g298507-d1464853-Reviews-Golden_Triangle_Hotel-St_Petersburg_Northwestern_District.html;Just 100 metres from Nevsky Prospekt, this 5-star boutique hotel in St. Petersburg offers classic-style rooms with free Wi-Fi, full buffet breakfasts, and a 24-hour reception. Guests can rent free laptops. Located within a 19th-century building, Golden Triangle Hotel has air-conditioned rooms and suites with flat-screen TVs and Italian mahogany furniture.;2;0;0;2;1;2;1;2;2;1;2
